Control,Input,SWNOutput,SWNDrain,SWPOutput,SWPDrain
34,13,20.097404000000004,5.083336,1.074,5.083336
34,14,20.848632000000002,5.167047999999999,1.19768,5.167047999999999
34,15,21.599860000000003,5.25076,1.32136,5.25076
34,16,22.351084000000007,5.334455999999999,1.4450440000000002,5.334455999999999
34,17,23.102308000000004,5.418152,1.5687280000000001,5.418152
34,18,23.853532000000005,5.501848000000001,1.6924120000000005,5.501848000000001
34,19,24.604756000000005,5.5855440000000005,1.8160960000000004,5.5855440000000005
34,20,25.355980000000002,5.66924,1.9397800000000003,5.66924
34,21,26.074308000000006,5.727744,2.2060600000000004,5.727744
34,22,26.792636000000005,5.786248000000001,2.4723400000000004,5.786248000000001
34,23,27.51096400000001,5.8447520000000015,2.738620000000001,5.8447520000000015
34,24,28.229292000000004,5.903256000000001,3.0049,5.903256000000001
34,25,28.947620000000004,5.961760000000001,3.27118,5.961760000000001
34,26,29.665960000000005,6.020252000000001,3.5374600000000003,6.020252000000001
34,27,30.384300000000007,6.078744,3.803740000000001,6.078744
34,28,31.102640000000008,6.1372360000000015,4.070020000000001,6.1372360000000015
34,29,31.820980000000006,6.195728000000001,4.3363000000000005,6.195728000000001
34,30,32.539320000000004,6.25422,4.602580000000001,6.25422
34,31,33.25286800000001,6.302668000000001,5.044920000000001,6.302668000000001
34,32,33.966416,6.351116000000001,5.487260000000001,6.351116000000001
34,33,34.679964000000005,6.399564000000002,5.929600000000001,6.399564000000002
34,34,35.393512,6.448012000000001,6.37194,6.448012000000001
34,35,36.107060000000004,6.496460000000001,6.81428,6.496460000000001
34,36,36.820620000000005,6.544904000000001,7.256616000000001,6.544904000000001
34,37,37.534180000000006,6.5933480000000015,7.698952000000002,6.5933480000000015
34,38,38.24774000000001,6.641792000000001,8.141288000000001,6.641792000000001
34,39,38.96130000000001,6.690236000000001,8.583624,6.690236000000001
34,40,39.67486,6.7386800000000004,9.02596,6.7386800000000004
34,41,40.39211600000001,6.784360000000001,9.298644000000001,6.784360000000001
34,42,41.10937200000001,6.83004,9.571328000000001,6.83004
34,43,41.82662800000001,6.875720000000001,9.844012000000001,6.875720000000001
34,44,42.543884000000006,6.921400000000001,10.116696000000001,6.921400000000001
34,45,43.26114,6.96708,10.38938,6.96708
34,46,43.978408,7.012776000000001,10.662080000000001,7.012776000000001
